# HXA7241
# 2009-11-20

# (physical books only)

# miscellaneous
# art
# philosophy
# science
# software
# graphics
# fiction

# title | author[, author] | publisher | year (latest) | isbn (including '-'s)

The Concise Oxford Dictionary | J B Sykes | Oxford | 1978 | 0-19-861121-8
Roget's Thesaurus | Susan M Lloyd | Penguin | 1987 | 0-14-051124-5
Usage And Abusage | Eric Partridge | Penguin | 1987 | 0-14-051024-9
The Penguin Dictionary Of Twentieth Century History 1900-1978 | Alan Palmer | Penguin | 1979 | 0-14-051085-0
A-Z London |  | Geographer's A-Z Map Company | 1998 | 0-85039-244-6
A-Z Inner London |  | Geographer's A-Z Map Company | 2000 | 0-85039-139-3
Whitaker's Almanack 1962 |  |  | 1962 |
Whitaker's Almanack 1987 Shorter Edition |  |  | 1987 | 0-85021-170-0
Selected Writings | Samuel Johnson | Penguin | 1968 |
Essays | Michel de Montaigne, J M Cohen | Penguin | 1984 | 0-14-044083-6
Selected Letters And Journals | Lord Byron | Picador | 1988 | 0-330-28303-0
The Pillow Book | Sei Shonagon, Ivan Morris | Penguin | 1977 | 0-14-044236-7
A Book Of Five Rings | Miyamoto Musashi | Harper Collins | 1995 | 0-00-638434-X
The Teachings Of Don Juan | Carlos Castaneda | Penguin | 1976 | 0-14-003061-1
A Separate Reality | Carlos Castaneda | Penguin | 1990 | 0-14-019236-0
Journey To Ixtlan | Carlos Castaneda | Penguin | 1992 | 0-14-019234-4
Tales Of Power | Carlos Castaneda | Penguin | 1992 | 0-14-019237-9
The Second Ring Of Power | Carlos Castaneda | Penguin | 1990 | 0-14-019235-2
The Eagle's Gift | Carlos Castaneda | Penguin | 1992 | 0-14-019233-6
The Fire From Within | Carlos Castaneda | Washington Square Press | 1985 | 0-671-73250-1
The Power Of Silence | Carlos Castaneda | Washington Square Press | 1987 | 0-671-73248-X
The Art Of Dreaming | Carlos Castaneda | Thorsons | 1994 | 1-85538-427-2
Magical Passes | Carlos Castaneda | Harper Collins | 1998 | 0-7225-3701-8
The Active Side Of Infinity | Carlos Castaneda | Thorsons | 2000 | 0-7225-3937-1
The Sorcerors' Crossing | Taisha Abelar | Penguin | 1993 | 0-14-019366-9
Being In Dreaming | Florinda Donner | Harper Collins | 1991 | 0-06-250192-5
The Second Penguin Krishnamurti Reader | Jiddu Krishnamurti | Penguin | 1979 | 0-14-003687-3
Zen Flesh Zen Bones | Paul Reps | Penguin | 1986 | 0-14-021283-3
Nature Man And Woman | Alan W Watts | Vintage | 1970 | 394-70592-0
The Varieties Of Religious Experience | William James | Fontana | 1963 |
Drugs Of Hallucination | Sidney Cohen | Paladin | 1970 | 586-08020-1
The Marijuana Papers | David Solomon | Panther | 1970 | 586-02884-6
A Guide To British Psilocybin Mushrooms | Richard Cooper | Red Shift Books | 1980 | 0-86166-004-8
Playpower | Richard Neville | Panther | 1971 | 586-08042-2
The Psychedelic Experience | Timothy Leary, Ralph Metzner, Richard Alpert | The Citadel Press | 1983 | 0-8065-0552-4
Psychedelic Prayers | Timothy Leary | Academy Editions | 1972 | 0-902620-52-5
The Politics Of Ecstasy | Timothy Leary | Paladin | 1971 | 586-08008-2
Jail Notes | Timothy Leary | New English Library | 1972 | 450-01301-4
Confessions Of A Hope Fiend | Timothy Leary | Bantam Books | 1973 | 554-08070-195
The Game Of Life | Timothy Leary | Peace Press | 1979 | 0-915238-30-6
Flashbacks | Timothy Leary | Heineman | 1983 | 434-40975-8
Neuropolitique | Timothy Leary | New Falcon Press | 1991 | 156184-012-2
Info-Psychology | Timothy Leary | Falcon Press | 1990 | 0-941404-60-9
Chaos And Cyber Culture | Timothy Leary | Ronin | 1994 | 0-914171-77-1
The Doors Of Perception, Heaven And Hell | Aldous Huxley | Granada | 1985 | 0-586-04437-X
The Joyous Cosmology | Alan W Watts | Random House | 1970 | 394-70299-9
The Human Biocomputer | John C Lilly | Abacus | 1974 | 0-349-12204-0
The Archaic Revival | Terence McKenna | Harper Collins | 1991 | 0-06-250613-7
True Hallucinations | Terence McKenna | Harper Collins | 1993 | 0-06-250545-9
Trialogues At The Edge Of The West | Terence McKenna | Bear & Company | 1992 | 0-939680-97-1
Storming Heaven | Jay Stevens | Paladin | 1989 | 0-586-08796-6
The Acid Trip A Complete Guide To Psychedelic Music | Vernon Joynson | Babylon | 1984 | 0-907188-24-9
Conversational Power | James K Van Fleet | Prentice Hall | 1984 | 0-13-529637-4
Immediate Action | Andy McNab | Corgi | 1996 | 0-552-14276-X
The White Goddess | Robert Graves | Faber | 1986 | 0-571-06961-4
Small Is Beautiful | E F Schumacher | Abacus | 1989 | 0-349-13132-5
Man And The Natural World | Keith Thomas | Penguin | 1984 | 0-14-007344-2
Mythologies | Roland Barthes | Paladin | 1987 | 0-586-08164-X
Women Of Classical Mythology A Biographical Dictionary | Robert E Bell | Oxford | 1993 | 0-19-507977-9
The Feminist Companion To Mythology | Carolyne Larrington | Pandora | 1992 | 0-04-440850-1
Style Wars | Peter York | Sidgwick & Jackson | 1983 | 0-283-98999-8
Modern Times | Peter York | Futura | 1985 | 0-7088-2718-7
Decoding Advertisements | Judith Williamson | Marion Boyars | 1987 | 0-7145-2615-0
The Craft Of Copywriting | Alastair Crompton | Business Books | 1991 | 0-09-168031-X
Cold Calling Techniques | Stephan Schiffman | Kogan Page | 1990 | 1-85091-817-1
Use Your Head | Tony Buzan | BBC | 1989 | 0-563-20811-2
The Loom Of Language | Frederick Bodmer | Merlin Press | 1987 | 085036-350-0
Godel Escher Bach An Eternal Golden Braid | Douglas R Hofstadter | Penguin | 1982 | 0-14-005579-7
Egyptian Magic | E A Wallis Budge | Arkana | 1988 | 1-85063-106-9
Goetia | Aleister Crowley | Sut Anubis |  | 0-947762-04-3
The Law Is For All | Aleister Crowley | Falcon Press | 1986 | 0-941404-25-0
Magick | Aleister Crowley | Routledge & Kegan Paul | 1985 | 0-7100-7423-9
The Arthurian Legends | Barber | Bibliophile Books | 1979 | 0-900123-37-0
The Optimum Nutrition Bible | Patrick Holford | Piatkus | 1999 | 0-7499-1855-1
The Motley Fool UK Investment Guide | David Berger, David Gardner, Tom Gardner | Boxtree | 1998 | 07522-2439-5
The Nudist On The Late Shift | Po Bronson | Secker & Warburg | 1999 | 0-436-20477-0
Digital Darwinism | Evan I Schwartz | Penguin | 1999 | 0-140-28684-5
Working With Emotional Intelligence | Daniel Goleman | Bloomsbury | 1988 | 0-7475-3984-7
Food From The Place Below | Bill Sewell, Ian Burleigh, Frances Tomlinson | Thorsons | 1996 | 0-7225-3230-X
Ask The Headhunter | Nick A Corcodilos | Nicholas Brealey | 1997 | 1-85788-190-7
Built To Last | James C Collins, Jerry I Porras | Random House | 1998 | 0-7126-7961-8
Serious Creativity | Edward de Bono | Harper Collins | 1994 | 0-00-637958-3
